casent,new codes for PTs,species,CL,PoOC,CW,CWb,FRS,SL,EL,MW,PSTI,PEW,PPW,SPBA,SPTI,ML,PEL,NOL,MPST,PEH,NOH,PPH,SPST,PPL,dendroname,lat,long,,CS (µm),PoOC/CL,CL/CW,CL/CWb,FRS/CS,SL/CS,EL/CS,MW/CS,PSTI/CS,PEW/CS,PPW/CS,SPBA/CS,SPTI/CS,ML/CS,PEL/CS,NOL/CS,MPST/CS,PEH/CS,NOH/CS,PPH/CS,SPST/CS,PPL/CS
CASENT_0077416,,excelsior,830,380,702,650,208,582,178,450,458,188,268,170,180,1010,390,270,310,222,132,218,200,198,excelsior-CASENT_0077416,-13.26333,49.60333,,740,0.457831325,1.182336182,1.276923077,0.281081081,0.786486486,0.240540541,0.608108108,0.618918919,0.254054054,0.362162162,0.22972973,0.243243243,1.364864865,0.527027027,0.364864865,0.418918919,0.3,0.178378378,0.294594595,0.27027027,0.267567568
CASENT_0077416,,excelsior,820,382,710,660,210,582,172,460,455,195,272,190,220,1015,405,275,315,232,138,218,212,200,excelsior-CASENT_0077416,-13.26333,49.60333,,740,0.465853659,1.154929577,1.242424242,0.283783784,0.786486486,0.232432432,0.621621622,0.614864865,0.263513514,0.367567568,0.256756757,0.297297297,1.371621622,0.547297297,0.371621622,0.425675676,0.313513514,0.186486486,0.294594595,0.286486486,0.27027027
CASENT_0077417,,excelsior,830,388,700,652,210,588,170,465,460,190,270,180,230,1010,395,260,300,218,135,218,210,182,excelsior-CASENT_0077417,-13.26333,49.60333,,741,0.46746988,1.185714286,1.273006135,0.28340081,0.793522267,0.229419703,0.627530364,0.620782726,0.256410256,0.36437247,0.24291498,0.310391363,1.363022942,0.533063428,0.350877193,0.4048583,0.294197031,0.182186235,0.294197031,0.28340081,0.245614035
CASENT_0077417,,excelsior,830,372,695,640,215,602,172,448,450,190,272,175,215,1000,392,270,320,210,125,208,222,185,excelsior-CASENT_0077417,-13.26333,49.60333,,735,0.448192771,1.194244604,1.296875,0.292517007,0.819047619,0.234013605,0.60952381,0.612244898,0.258503401,0.370068027,0.238095238,0.292517007,1.360544218,0.533333333,0.367346939,0.43537415,0.285714286,0.170068027,0.282993197,0.302040816,0.25170068
CASENT_0077418,,excelsior,762,340,640,585,198,552,155,420,405,165,240,150,185,930,360,240,285,200,120,188,190,175,excelsior-CASENT_0077418,-13.26333,49.60333,,673.5,0.446194226,1.190625,1.302564103,0.293986637,0.819599109,0.230141054,0.623608018,0.601336303,0.244988864,0.356347439,0.222717149,0.274684484,1.380846325,0.534521158,0.356347439,0.423162584,0.296956199,0.178173719,0.279138827,0.282108389,0.259836674
CASENT_0077418,,excelsior,755,330,652,588,192,555,162,420,405,175,248,160,200,930,360,230,280,202,118,192,185,172,excelsior-CASENT_0077418,-13.26333,49.60333,,671.5,0.437086093,1.15797546,1.284013605,0.285927029,0.826507818,0.241250931,0.625465376,0.603127327,0.260610573,0.369322413,0.238272524,0.297840655,1.384959047,0.536113179,0.342516754,0.416976917,0.300819062,0.175725987,0.285927029,0.275502606,0.256142964
CASENT_0134393,,excelsior,830,392,722,660,218,618,170,480,450,160,248,160,200,1020,380,250,320,222,128,198,262,182,excelsior-CASENT_0134393,-16.28322,48.81443,,745,0.472289157,1.149584488,1.257575758,0.29261745,0.829530201,0.228187919,0.644295302,0.604026846,0.214765101,0.332885906,0.214765101,0.268456376,1.369127517,0.510067114,0.33557047,0.429530201,0.297986577,0.171812081,0.265771812,0.351677852,0.244295302
CASENT_0134398,,excelsior,852,402,728,670,222,630,175,480,462,170,260,172,220,1030,395,262,330,232,135,205,260,190,excelsior-CASENT_0134398,-16.28322,48.81443,,761,0.471830986,1.17032967,1.271641791,0.291721419,0.827858081,0.229960578,0.630749014,0.607095926,0.223390276,0.341655716,0.226018397,0.289093298,1.35348226,0.519053876,0.344283837,0.433639947,0.304862024,0.17739816,0.269382392,0.341655716,0.249671485
CASENT_0151860,,excelsior,770,355,690,632,210,572,165,450,440,152,238,160,190,945,350,230,280,212,122,175,205,140,excelsior-CASENT_0151860,-14.52996,49.44039,,701,0.461038961,1.115942029,1.21835443,0.29957204,0.815977175,0.235378031,0.641940086,0.62767475,0.216833096,0.339514979,0.228245364,0.271041369,1.34807418,0.499286733,0.32810271,0.399429387,0.302425107,0.17403709,0.249643367,0.292439372,0.199714693
CASENT_0151861,,excelsior,770,345,680,615,202,570,162,430,432,150,230,150,170,935,340,230,265,210,118,170,200,140,excelsior-CASENT_0151861,-14.52996,49.44039,,692.5,0.448051948,1.132352941,1.25203252,0.291696751,0.823104693,0.233935018,0.620938628,0.623826715,0.216606498,0.332129964,0.216606498,0.245487365,1.350180505,0.490974729,0.332129964,0.38267148,0.303249097,0.170397112,0.245487365,0.288808664,0.202166065
CASENT_0151904,,excelsior,850,392,758,700,242,620,172,500,475,190,285,182,190,1045,380,270,315,238,140,198,215,172,excelsior-CASENT_0151904,-14.52996,49.44039,,775,0.461176471,1.121372032,1.214285714,0.312258065,0.8,0.221935484,0.64516129,0.612903226,0.24516129,0.367741935,0.23483871,0.24516129,1.348387097,0.490322581,0.348387097,0.406451613,0.307096774,0.180645161,0.255483871,0.277419355,0.221935484
CASENT_0151905,,excelsior,840,388,745,695,232,612,175,490,482,182,280,185,200,1040,390,280,315,232,128,202,215,180,excelsior-CASENT_0151905,-14.52996,49.44039,,767.5,0.461904762,1.127516779,1.208633094,0.30228013,0.797394137,0.228013029,0.638436482,0.628013029,0.23713355,0.364820847,0.241042345,0.260586319,1.35504886,0.508143322,0.364820847,0.410423453,0.30228013,0.166775244,0.263192182,0.280130293,0.234527687
CASENT_0152435,,excelsior,860,400,760,702,230,615,178,530,515,205,290,170,215,1090,410,290,320,230,140,205,235,200,excelsior-CASENT_0152435,-14.52996,49.44039,,781,0.465116279,1.131578947,1.225071225,0.294494238,0.787451985,0.227912932,0.678617157,0.659411012,0.262483995,0.371318822,0.217669654,0.275288092,1.395646607,0.52496799,0.371318822,0.409731114,0.294494238,0.179257362,0.262483995,0.300896287,0.256081946
CASENT_0300977,,excelsior,840,382,720,670,222,600,170,478,460,180,248,182,180,1060,410,282,320,215,120,200,195,202,excelsior-CASENT_0300977,-13.59358,48.73157,,755,0.454761905,1.166666667,1.253731343,0.294039735,0.794701987,0.225165563,0.633112583,0.609271523,0.238410596,0.328476821,0.241059603,0.238410596,1.40397351,0.543046358,0.373509934,0.42384106,0.284768212,0.158940397,0.264900662,0.258278146,0.267549669
CASENT_0301002,,excelsior,860,398,720,670,222,622,175,480,470,190,280,188,205,1050,420,280,320,225,135,210,230,212,excelsior-CASENT_0301002,-13.59358,48.73157,,765,0.462790698,1.194444444,1.28358209,0.290196078,0.813071895,0.22875817,0.62745098,0.614379085,0.248366013,0.366013072,0.245751634,0.267973856,1.37254902,0.549019608,0.366013072,0.418300654,0.294117647,0.176470588,0.274509804,0.300653595,0.277124183
CASENT_0301007,,excelsior,860,400,710,660,220,602,172,468,470,188,270,188,190,1050,422,295,325,230,130,212,195,210,excelsior-CASENT_0301007,-13.59358,48.73157,,760,0.465116279,1.211267606,1.303030303,0.289473684,0.792105263,0.226315789,0.615789474,0.618421053,0.247368421,0.355263158,0.247368421,0.25,1.381578947,0.555263158,0.388157895,0.427631579,0.302631579,0.171052632,0.278947368,0.256578947,0.276315789
CASENT_0301033,,excelsior,778,350,680,630,205,570,165,430,420,170,242,158,190,955,370,252,290,208,125,185,202,165,excelsior-CASENT_0301033,-13.59358,48.73157,,704,0.449871465,1.144117647,1.234920635,0.291193182,0.809659091,0.234375,0.610795455,0.596590909,0.241477273,0.34375,0.224431818,0.269886364,1.356534091,0.525568182,0.357954545,0.411931818,0.295454545,0.177556818,0.262784091,0.286931818,0.234375
CASENT_0301065,,excelsior,810,370,685,630,202,592,170,448,445,170,250,160,180,995,380,240,300,215,135,200,212,190,excelsior-CASENT_0301065,-13.59358,48.73157,,720,0.456790123,1.182481752,1.285714286,0.280555556,0.822222222,0.236111111,0.622222222,0.618055556,0.236111111,0.347222222,0.222222222,0.25,1.381944444,0.527777778,0.333333333,0.416666667,0.298611111,0.1875,0.277777778,0.294444444,0.263888889
CASENT_0301105,,excelsior,830,380,705,660,215,590,182,455,442,182,272,180,190,1030,420,300,320,222,125,205,190,210,excelsior-CASENT_0301105,-13.5888,48.72864,,745,0.457831325,1.177304965,1.257575758,0.288590604,0.791946309,0.244295302,0.610738255,0.593288591,0.244295302,0.365100671,0.241610738,0.255033557,1.382550336,0.563758389,0.402684564,0.429530201,0.297986577,0.167785235,0.275167785,0.255033557,0.281879195
CASENT_0301110,,excelsior,828,380,715,660,220,592,180,468,460,198,268,202,200,1050,420,292,315,225,130,198,198,202,excelsior-CASENT_0301110,-13.5888,48.72864,,744,0.458937198,1.158041958,1.254545455,0.295698925,0.795698925,0.241935484,0.629032258,0.61827957,0.266129032,0.360215054,0.271505376,0.268817204,1.411290323,0.564516129,0.392473118,0.423387097,0.302419355,0.174731183,0.266129032,0.266129032,0.271505376
CASENT_0301156,,excelsior,840,390,722,665,222,608,175,460,462,188,270,190,180,1055,412,275,315,220,130,210,185,195,excelsior-CASENT_0301156,-13.5888,48.72864,,752.5,0.464285714,1.163434903,1.263157895,0.295016611,0.807973422,0.23255814,0.611295681,0.613953488,0.249833887,0.358803987,0.252491694,0.239202658,1.401993355,0.547508306,0.365448505,0.418604651,0.292358804,0.172757475,0.279069767,0.245847176,0.259136213
CASENT_0301160,,excelsior,860,400,730,672,228,620,178,472,470,190,270,208,205,1090,418,285,315,240,138,205,202,210,excelsior-CASENT_0301160,-13.5888,48.72864,,766,0.465116279,1.178082192,1.279761905,0.297650131,0.809399478,0.232375979,0.61618799,0.613577023,0.248041775,0.352480418,0.27154047,0.267624021,1.422976501,0.545691906,0.372062663,0.411227154,0.313315927,0.180156658,0.267624021,0.263707572,0.274151436
